adj.P.Val,logFC,Gene.symbol,Gene.title
0.0945,-0.31069872,DOK1,docking protein 1
0.0946,0.52352855,SYK,spleen associated tyrosine kinase
0.0946,0.31718793,DOLK,dolichol kinase
0.0946,0.28672649,MARCH7,membrane associated ring-CH-type finger 7
0.0947,0.50776642,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
0.0948,-0.74889164,CDC5L,cell division cycle 5 like
0.0949,-0.4425795,PDE6A,phosphodiesterase 6A
0.0951,-0.73052739,CCR2,C-C motif chemokine receptor 2
0.0953,-0.87741928,CALB1,calbindin 1
0.0955,-0.17244863,RNF187,ring finger protein 187
0.0955,-0.39467179,BTBD3,BTB domain containing 3
0.0955,-0.82846927,EPHX1,epoxide hydrolase 1
0.0956,0.69414808,ZNF165,zinc finger protein 165
0.0958,-0.57089952,,
0.0961,-0.24574177,TFF3,trefoil factor 3
0.0961,-0.30045421,PGM3,phosphoglucomutase 3
0.0961,-0.36120341,COL6A1,collagen type VI alpha 1 chain
0.0962,-0.58315436,FAM105A,family with sequence similarity 105 member A
0.0963,0.48140905,ITGB3BP,integrin subunit beta 3 binding protein
0.0963,-0.38359671,BAG1,BCL2 associated athanogene 1
0.0963,-0.53550453,IGF1R,insulin like growth factor 1 receptor
0.0965,-0.22993701,TCTA,T-cell leukemia translocation altered
0.0965,-0.51174052,OCLN,occludin
0.0966,0.35638711,PGAP2,post-GPI attachment to proteins 2
0.0966,-0.2939747,CSRP1,cysteine and glycine rich protein 1
0.0966,-0.35980201,GUCY1A3,guanylate cyclase 1 soluble subunit alpha
0.0966,-0.57207562,MUC1,"mucin 1, cell surface associated"
0.0966,-0.58474938,LINC00869,long intergenic non-protein coding RNA 869
0.0966,-0.63519828,SOX2,SRY-box 2
0.0966,-0.77315362,ABCC9,ATP binding cassette subfamily C member 9
0.0967,0.35638251,SEC23A,"Sec23 homolog A, coat complex II component"
0.0968,0.33440458,CCND3,cyclin D3
0.0969,0.83640614,FXYD3,FXYD domain containing ion transport regulator 3
0.0969,0.5046741,SLC4A7,solute carrier family 4 member 7
0.097,0.58371477,PCSK1,proprotein convertase subtilisin/kexin type 1
0.097,-0.48083456,ZG16,zymogen granule protein 16
0.097,-0.825288,RAB1A,"RAB1A, member RAS oncogene family"
0.0973,0.49235609,SECTM1,secreted and transmembrane 1
0.0974,-0.69209203,LRRC37A3,leucine rich repeat containing 37 member A3
0.0975,-0.86001068,MYBL1,MYB proto-oncogene like 1
0.0976,-0.41044319,TBCD,tubulin folding cofactor D
0.0976,-0.88504275,MCF2,MCF.2 cell line derived transforming sequence
0.0977,-0.56433819,TSHR,thyroid stimulating hormone receptor
0.0979,0.62311134,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma
0.0979,-0.40396731,IL1RL2,interleukin 1 receptor like 2
0.0979,-0.40951298,ALOX5,arachidonate 5-lipoxygenase
0.0979,-0.50026071,ATP8A2,ATPase phospholipid transporting 8A2
0.0979,-0.70102453,ITGA8,integrin subunit alpha 8
0.098,0.31835465,BID,BH3 interacting domain death agonist
0.098,-0.24395489,DRG2,developmentally regulated GTP binding protein 2
0.098,-0.37446224,DNAJC4,DnaJ heat shock protein family (Hsp40) member C4
0.0981,-0.27520433,CAMSAP1,calmodulin regulated spectrin associated protein 1
0.0982,0.29179096,PPP3CB,protein phosphatase 3 catalytic subunit beta
0.0983,0.4048686,SMTN,smoothelin
0.0984,-0.52638278,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6
0.0985,-0.34516361,C15orf38-AP3S2///AP3S2,C15orf38-AP3S2 readthrough///adaptor related protein complex 3 sigma 2 subunit
0.0985,-0.49594184,OBSL1,obscurin like 1
0.0985,-0.65446052,PAN2,PAN2 poly(A) specific ribonuclease subunit
0.0985,-0.79626193,YLPM1,YLP motif containing 1
0.0986,-0.40737138,PPIP5K1,diphosphoinositol pentakisphosphate kinase 1
0.0987,0.32962997,PRKD2,protein kinase D2
0.0987,-0.41323027,FZD9,frizzled class receptor 9
0.0988,-0.29988617,MDN1,midasin AAA ATPase 1
0.0988,-0.64937259,DRD1,dopamine receptor D1
0.0989,-0.19544451,CSNK1D,casein kinase 1 delta
0.0989,-0.32224897,USF2,"upstream transcription factor 2, c-fos interacting"
0.099,-0.28566979,ACR,acrosin
0.0992,0.31946302,CSK,c-src tyrosine kinase
0.0992,-0.44670367,DGCR5,DiGeorge syndrome critical region gene 5 (non-protein coding)
0.0993,-0.22829992,ROCK2,Rho associated coiled-coil containing protein kinase 2
0.0993,-0.24152165,HPS1,"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"
0.0993,-0.33140616,RBM6,RNA binding motif protein 6
0.0997,0.7330231,GMFG,glia maturation factor gamma
0.0997,0.61203165,GTSE1,G2 and S-phase expressed 1
0.0997,0.45351834,COL13A1,collagen type XIII alpha 1 chain
0.0998,0.53158363,EPHA4,EPH receptor A4
0.0998,-0.27263197,EXTL2,exostosin like glycosyltransferase 2
0.1,0.7893916,CSTB,cystatin B
0.1,0.62386483,CYP7B1,cytochrome P450 family 7 subfamily B member 1
0.1,-0.30168073,KMT2A,lysine methyltransferase 2A
0.1,-0.36491184,PAM,peptidylglycine alpha-amidating monooxygenase
0.1,-0.38753979,RAB40AL///RAB40A///RAB40B,"RAB40A, member RAS oncogene family-like///RAB40A, member RAS oncogene family///RAB40B, member RAS oncogene family"
0.1,-0.45949223,FGF18,fibroblast growth factor 18
0.1,-0.46327497,SIKE1,suppressor of IKBKE 1
0.1,-0.49160573,B3GALT5,"beta-1,3-galactosyltransferase 5"
0.1,-0.624813,CD1D,CD1d molecule
0.101,0.61442348,HCAR3,hydroxycarboxylic acid receptor 3
0.101,0.4846474,LGALS1,galectin 1
0.101,0.32567607,SS18,"SS18, nBAF chromatin remodeling complex subunit"
0.101,0.26051423,LDB1,LIM domain binding 1
0.101,0.21912226,AMPD2,adenosine monophosphate deaminase 2
0.101,0.15674151,MRPL28,mitochondrial ribosomal protein L28
0.101,-0.30371085,SPOP,speckle type BTB/POZ protein
0.101,-0.39807016,SLC22A24,solute carrier family 22 member 24
0.101,-0.42707118,NUPR1,"nuclear protein 1, transcriptional regulator"
0.101,-0.43228596,MYCN,v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog
0.101,-0.4605013,KCTD7,potassium channel tetramerization domain containing 7
0.101,-0.46992647,SULT2A1,sulfotransferase family 2A member 1
0.101,-0.48480224,KRT83,keratin 83
0.101,-0.53003391,STARD8,StAR related lipid transfer domain containing 8
0.101,-0.60461504,ELANE,"elastase, neutrophil expressed"
0.101,-0.63402325,RPARP-AS1,RPARP antisense RNA 1
0.102,0.61836028,RELA,"RELA proto-oncogene, NF-kB subunit"
0.102,0.48907469,SMYD2,SET and MYND domain containing 2
0.102,0.4039589,PEX2,peroxisomal biogenesis factor 2
0.102,0.36746508,GORASP2,golgi reassembly stacking protein 2
0.102,0.33451899,CFLAR,CASP8 and FADD like apoptosis regulator
0.102,0.32607402,TIA1,TIA1 cytotoxic granule-associated RNA binding protein
0.102,0.30843427,BCR,"BCR, RhoGEF and GTPase activating protein"
0.102,-0.22630553,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
0.102,-0.26221568,DLX2,distal-less homeobox 2
0.102,-0.33830357,CHP1,calcineurin like EF-hand protein 1
0.102,-0.37084427,MMP23A///MMP23B,matrix metallopeptidase 23A (pseudogene)///matrix metallopeptidase 23B
0.102,-0.4479797,CLCN2,chloride voltage-gated channel 2
0.102,-0.51799086,CNOT8,CCR4-NOT transcription complex subunit 8
0.102,-0.65080848,NR1I3,nuclear receptor subfamily 1 group I member 3
0.102,-0.76472694,SERPINB10,serpin family B member 10
0.103,0.72837675,PRSS12,"protease, serine 12"
0.103,0.54704669,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
0.103,0.20685795,IRF3,interferon regulatory factor 3
0.103,-0.26422897,SNORA41///EEF1B2,"small nucleolar RNA, H/ACA box 41///eukaryotic translation elongation factor 1 beta 2"
0.103,-0.30790506,CENPC,centromere protein C
0.103,-0.40930027,FMO4,flavin containing monooxygenase 4
0.103,-0.48816601,HP,haptoglobin
0.103,-0.50990518,,
0.103,-0.56011627,PTPN3,"protein tyrosine phosphatase, non-receptor type 3"
0.103,-0.56720796,GABRB1,gamma-aminobutyric acid type A receptor beta1 subunit
0.103,-0.62842838,,
0.103,-0.66016395,F5,coagulation factor V
0.104,0.65907494,DOCK9,dedicator of cytokinesis 9
0.104,-0.25948461,H1F0,H1 histone family member 0
0.104,-0.3207094,IPO7,importin 7
0.104,-0.36812994,RUNX2,runt related transcription factor 2
0.104,-0.40791157,SEPW1,"selenoprotein W, 1"
0.104,-0.46750991,DIO3,"deiodinase, iodothyronine, type III"
0.104,-0.54709893,FEZ2,fasciculation and elongation protein zeta 2
0.104,-0.60826757,NCAN,neurocan
0.105,0.69461258,INPP4B,inositol polyphosphate-4-phosphatase type II B
0.105,0.49454079,CDHR1,cadherin related family member 1
0.105,0.40436021,MIR7109///PISD,microRNA 7109///phosphatidylserine decarboxylase
0.105,0.31795496,RPL36A-HNRNPH2///HNRNPH2,RPL36A-HNRNPH2 readthrough///heterogeneous nuclear ribonucleoprotein H2 (H')
0.105,-0.17275551,IDH3G,isocitrate dehydrogenase 3 (NAD(+)) gamma
0.105,-0.27920294,ATP11A,ATPase phospholipid transporting 11A
0.105,-0.29523298,WNT2B,Wnt family member 2B
0.105,-0.31838902,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
0.105,-0.38121391,NPR3,natriuretic peptide receptor 3
0.105,-0.38792186,WWP1,WW domain containing E3 ubiquitin protein ligase 1
0.105,-0.41736406,PPOX,protoporphyrinogen oxidase
0.105,-0.4610758,GAPDH,glyceraldehyde-3-phosphate dehydrogenase
0.105,-0.481194,TRAF3IP1,TRAF3 interacting protein 1
0.105,-0.50249561,TG,thyroglobulin
0.105,-0.60065202,TACR2,tachykinin receptor 2
0.105,-0.64435965,ZNF41,zinc finger protein 41
0.105,-0.78127712,POU1F1,POU class 1 homeobox 1
0.106,0.6458605,MCC,mutated in colorectal cancers
0.106,0.48762033,KXD1,KxDL motif containing 1
0.106,0.46947103,GNS,glucosamine (N-acetyl)-6-sulfatase
0.106,0.27991256,ICE1,interactor of little elongation complex ELL subunit 1
0.106,0.27446591,IFT20,intraflagellar transport 20
0.106,0.23917533,NACA,nascent polypeptide-associated complex alpha subunit
0.106,-0.23903074,SGTA,small glutamine rich tetratricopeptide repeat containing alpha
0.106,-0.30366875,,
0.106,-0.38630869,THRB,thyroid hormone receptor beta
0.106,-0.42018715,NISCH,nischarin
0.106,-0.48164722,C1orf61,chromosome 1 open reading frame 61
0.106,-0.52758454,,
0.106,-0.55351127,,
0.106,-0.57260256,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
0.106,-0.5816543,,
0.106,-0.61046755,MS4A2,membrane spanning 4-domains A2
0.106,-0.67998902,ITGB1,integrin subunit beta 1
0.106,-0.72961401,ADAM21,ADAM metallopeptidase domain 21
0.106,-0.8259809,ETV1,ETS variant 1
0.107,0.62620857,GNA13,G protein subunit alpha 13
0.107,0.61459808,ADAM17,ADAM metallopeptidase domain 17
0.107,0.56375822,GABPB1,GA binding protein transcription factor beta subunit 1
0.107,0.25062911,EHD1,EH domain containing 1
0.107,0.22632515,PSMD3,"proteasome 26S subunit, non-ATPase 3"
0.107,-0.176325,UBE2D2,ubiquitin conjugating enzyme E2 D2
0.107,-0.22408163,THUMPD1,THUMP domain containing 1
0.107,-0.28049089,HBP1,HMG-box transcription factor 1
0.107,-0.33776876,NEO1,neogenin 1
0.107,-0.35767651,POM121L2,POM121 transmembrane nucleoporin like 2
0.107,-0.36430891,DRD3,dopamine receptor D3
0.107,-0.40531261,INPP4A,inositol polyphosphate-4-phosphatase type I A
0.107,-0.42268308,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3
0.107,-0.42789086,VAPB,VAMP associated protein B and C
0.107,-0.42803591,SLC17A7,solute carrier family 17 member 7
0.107,-0.44412986,GALNS,galactosamine (N-acetyl)-6-sulfatase
0.107,-0.44555299,HABP4,hyaluronan binding protein 4
0.107,-0.57049877,FABP1,fatty acid binding protein 1
0.107,-0.58744412,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1
0.107,-0.60472021,SOCS7,suppressor of cytokine signaling 7
0.107,-0.74093843,CRABP1,cellular retinoic acid binding protein 1
0.108,0.52398134,HSPA4L,heat shock protein family A (Hsp70) member 4 like
0.108,0.49949893,SLC31A2,solute carrier family 31 member 2
0.108,0.48256281,TRIP4,thyroid hormone receptor interactor 4
0.108,0.37057419,HMGB2,high mobility group box 2
0.108,0.20666997,RABAC1,Rab acceptor 1
0.108,-0.29582297,MAP2K3,mitogen-activated protein kinase kinase 3
0.108,-0.35536595,HAUS5,HAUS augmin like complex subunit 5
0.108,-0.38978078,PTPRS,"protein tyrosine phosphatase, receptor type S"
0.108,-0.43802102,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing
0.108,-0.50619348,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7
0.108,-0.53646906,PEX7,peroxisomal biogenesis factor 7
0.108,-0.56119585,FOLH1B///FOLH1,folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1
0.108,-0.57927085,FAM76A,family with sequence similarity 76 member A
0.108,-0.61953288,CBX2,chromobox 2
0.108,-0.71569467,DGKE,diacylglycerol kinase epsilon
0.109,0.53104246,CDC5L,cell division cycle 5 like
0.109,0.35024891,MOGS,mannosyl-oligosaccharide glucosidase
0.109,0.34221534,SRSF10,serine and arginine rich splicing factor 10
0.109,0.26266204,TRIM44,tripartite motif containing 44
0.109,0.26164536,CD99,CD99 molecule
0.109,-0.19360956,RPS9,ribosomal protein S9
0.109,-0.32209419,ARID3A,AT-rich interaction domain 3A
0.109,-0.33455946,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1
0.109,-0.37566331,C20orf194,chromosome 20 open reading frame 194
0.109,-0.411812,BAMBI,BMP and activin membrane bound inhibitor
0.109,-0.42462589,SCAPER,S-phase cyclin A associated protein in the ER
0.109,-0.43864151,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit
0.109,-0.4442995,GLI1,GLI family zinc finger 1
0.109,-0.46349614,STS,"steroid sulfatase (microsomal), isozyme S"
0.109,-0.5078127,BTN1A1,butyrophilin subfamily 1 member A1
0.109,-0.52058664,PNOC,prepronociceptin
0.109,-0.57570877,ETV3,ETS variant 3
0.109,-0.58357742,EEA1,early endosome antigen 1
0.109,-0.61399238,IL24,interleukin 24
0.109,-0.71182581,CALML3,calmodulin like 3
0.109,-0.8147675,NR4A3,nuclear receptor subfamily 4 group A member 3
0.11,0.62342444,CCR6,C-C motif chemokine receptor 6
0.11,0.47147049,TPM1,tropomyosin 1 (alpha)
0.11,-0.3061555,PEX11A,peroxisomal biogenesis factor 11 alpha
0.11,-0.36084037,MAP2K2,mitogen-activated protein kinase kinase 2
0.11,-0.36686151,LILRA3,leukocyte immunoglobulin like receptor A3
0.11,-0.37208099,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
0.11,-0.39319898,EPB41,erythrocyte membrane protein band 4.1
0.11,-0.42443924,CDK16,cyclin dependent kinase 16
0.11,-0.46306558,CAMP,cathelicidin antimicrobial peptide
0.11,-0.46361423,RET,ret proto-oncogene
0.11,-0.5300413,ZNF674,zinc finger protein 674
0.11,-0.54414016,CYP2B7P///CYP2B6,"cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6"
0.11,-0.5492065,CBX5,chromobox 5
0.11,-0.57246331,GAD1,glutamate decarboxylase 1
0.11,-0.62122326,PTPRR,"protein tyrosine phosphatase, receptor type R"
0.11,-0.63693353,PNLIP,pancreatic lipase
0.111,0.65829649,PCDH7,protocadherin 7
0.111,0.3999397,CREB1,cAMP responsive element binding protein 1
0.111,0.35975014,SNORD83B///SNORD139///RPL3,"small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3"
0.111,0.35116022,POLR3F,RNA polymerase III subunit F
0.111,0.25119659,LMAN2,"lectin, mannose binding 2"
0.111,0.20165817,RYK,receptor-like tyrosine kinase
0.111,-0.27514998,HLX,H2.0 like homeobox
0.111,-0.27908257,TCF20,transcription factor 20
0.111,-0.30475424,FBXW11,F-box and WD repeat domain containing 11
0.111,-0.3461189,MMACHC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria"
0.111,-0.39510742,SFTPD,surfactant protein D
0.111,-0.43123917,EFNA2,ephrin A2
0.111,-0.454117,LOC81691,exonuclease NEF-sp
0.111,-0.4751022,WFS1,wolframin ER transmembrane glycoprotein
0.111,-0.53587636,LOC100293211///IGHG1,uncharacterized LOC100293211///immunoglobulin heavy constant gamma 1 (G1m marker)
0.111,-0.56233077,HCN2,hyperpolarization activated cyclic nucleotide gated potassium channel 2
0.111,-0.67454951,MAGEC1,MAGE family member C1
0.111,-0.70700451,TOX,thymocyte selection associated high mobility group box
0.111,-0.778028,RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
0.111,-0.81673491,,
0.111,-0.84037778,PCDHGA8,"protocadherin gamma subfamily A, 8"
0.112,0.82283101,ADAM23,ADAM metallopeptidase domain 23
0.112,0.76531518,LPCAT4,lysophosphatidylcholine acyltransferase 4
0.112,0.56363201,IL18,interleukin 18
0.112,0.45128404,MR1,"major histocompatibility complex, class I-related"
0.112,0.42907954,SCAP,SREBF chaperone
0.112,0.3544315,SLC2A1,solute carrier family 2 member 1
0.112,0.3534709,TATDN2,TatD DNase domain containing 2
0.112,0.27525508,STOML2,stomatin like 2
0.112,-0.2194258,IDH3B,isocitrate dehydrogenase 3 (NAD(+)) beta
0.112,-0.23264677,PTPN4,"protein tyrosine phosphatase, non-receptor type 4"
0.112,-0.32897399,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
0.112,-0.35865235,KCTD20,potassium channel tetramerization domain containing 20
0.112,-0.38319998,LOC100996919///CD8B,putative T-cell surface glycoprotein CD8 beta-2 chain-like///CD8b molecule
0.112,-0.38504206,TBX5,T-box 5
0.112,-0.39313381,PGGT1B,protein geranylgeranyltransferase type I subunit beta
0.112,-0.40865198,APLP1,amyloid beta precursor like protein 1
0.112,-0.42609182,RAD52,"RAD52 homolog, DNA repair protein"
0.112,-0.43630314,BCL2,"BCL2, apoptosis regulator"
0.112,-0.45299837,MAP2K5,mitogen-activated protein kinase kinase 5
0.112,-0.47690064,MS4A3,membrane spanning 4-domains A3
0.112,-0.48194785,PATZ1,POZ/BTB and AT hook containing zinc finger 1
0.112,-0.50156298,CEACAM4,carcinoembryonic antigen related cell adhesion molecule 4
0.112,-0.51783739,AIPL1,aryl hydrocarbon receptor interacting protein like 1
0.112,-0.56238619,GABRA6,gamma-aminobutyric acid type A receptor alpha6 subunit
0.112,-0.59157996,HHLA1,HERV-H LTR-associating 1
0.112,-0.65816824,COL4A4,collagen type IV alpha 4 chain
0.113,0.32978509,ZNF318,zinc finger protein 318
0.113,0.19437993,DNAJC13,DnaJ heat shock protein family (Hsp40) member C13
0.113,0.18898749,ATP6V1B2,ATPase H+ transporting V1 subunit B2
0.113,-0.24415218,SCAF8,SR-related CTD associated factor 8
0.113,-0.2984245,METTL18,methyltransferase like 18
0.113,-0.32854807,KDM5C,lysine demethylase 5C
0.113,-0.33005248,PRDM2,PR/SET domain 2
0.113,-0.33202588,CTAG1A///CTAG2///CTAG1B,cancer/testis antigen 1A///cancer/testis antigen 2///cancer/testis antigen 1B
0.113,-0.4176494,TTTY2B///TTTY2,"testis-specific transcript, Y-linked 2B (non-protein coding)///testis-specific transcript, Y-linked 2 (non-protein coding)"
0.113,-0.42892529,HTR2A,5-hydroxytryptamine receptor 2A
0.113,-0.4982916,TNFSF8,tumor necrosis factor superfamily member 8
0.113,-0.56498475,TCF7L2,transcription factor 7 like 2
0.113,-0.56751995,CPA2,carboxypeptidase A2
0.113,-0.76004881,ERBB4,erb-b2 receptor tyrosine kinase 4
0.113,-0.97927284,SCNN1A,sodium channel epithelial 1 alpha subunit
0.114,0.39545221,TAOK3,TAO kinase 3
0.114,0.30624943,DEK,DEK proto-oncogene
0.114,-0.21082246,USP19,ubiquitin specific peptidase 19
0.114,-0.240428,BAHD1,bromo adjacent homology domain containing 1
0.114,-0.28684143,PRPSAP1,phosphoribosyl pyrophosphate synthetase associated protein 1
0.114,-0.35857959,BRWD1,bromodomain and WD repeat domain containing 1
0.114,-0.48931751,GCNT2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"
0.114,-0.50861448,CRX,cone-rod homeobox
0.114,-0.54592484,PROX1,prospero homeobox 1
0.114,-0.54774263,CDX1,caudal type homeobox 1
0.114,-0.74538376,,
0.115,-0.31748901,SNAPC3,small nuclear RNA activating complex polypeptide 3
0.115,-0.32760814,CHMP2B,charged multivesicular body protein 2B
0.115,-0.57005119,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
0.115,-0.60056635,LRP2,LDL receptor related protein 2
0.115,-0.67950151,REG1A,regenerating family member 1 alpha
0.115,-0.78750696,IGHV5-78,immunoglobulin heavy variable 5-78 (pseudogene)
0.116,0.37214358,APITD1-CORT///APITD1,"APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1"
0.116,0.31742996,STK17A,serine/threonine kinase 17a
0.116,0.3000937,DDX17,DEAD-box helicase 17
0.116,0.26177714,U2AF2,U2 small nuclear RNA auxiliary factor 2
0.116,-0.21124688,MIR943///NELFA,microRNA 943///negative elongation factor complex member A
0.116,-0.30742129,TPP2,tripeptidyl peptidase 2
0.116,-0.35062936,,
0.116,-0.3651366,STAG2,stromal antigen 2
0.116,-0.40794768,DSCAM,DS cell adhesion molecule
0.116,-0.45970853,H2AFB1///H2AFB2///H2AFB3,H2A histone family member B1///H2A histone family member B2///H2A histone family member B3
0.116,-0.46859104,UBL4A,ubiquitin like 4A
0.116,-0.48055659,,
0.116,-0.51539509,,
0.117,0.36104518,CHN1,chimerin 1
0.117,-0.24495239,ASXL1,"additional sex combs like 1, transcriptional regulator"
0.117,-0.25657166,PRAF2,PRA1 domain family member 2
0.117,-0.37273839,OSBP,oxysterol binding protein
0.117,-0.37523582,MLXIP,MLX interacting protein
0.117,-0.43323775,SYNGR3,synaptogyrin 3
0.117,-0.4558934,TRPM1,transient receptor potential cation channel subfamily M member 1
0.117,-0.4718876,SP1,Sp1 transcription factor
0.117,-0.47347566,ANKRD40,ankyrin repeat domain 40
0.117,-0.49253933,CLUAP1,clusterin associated protein 1
0.117,-0.54376617,C22orf31,chromosome 22 open reading frame 31
0.117,-0.59114183,BDKRB1,bradykinin receptor B1
0.117,-1.26790285,KRT13,keratin 13
0.118,0.38985875,TRAIP,TRAF interacting protein
0.118,-0.20777791,DEDD,death effector domain containing
0.118,-0.33184304,DPYSL2,dihydropyrimidinase like 2
0.118,-0.3397537,STX16,syntaxin 16
0.118,-0.34509184,CUL5,cullin 5
0.118,-0.43698508,TTLL1,tubulin tyrosine ligase like 1
0.118,-0.51486293,S100G,S100 calcium binding protein G
0.118,-0.59058877,HIST1H4L,"histone cluster 1, H4l"
0.118,-0.65915798,FRY,FRY microtubule binding protein
0.119,0.55352858,ARHGAP5,Rho GTPase activating protein 5
0.119,0.4864698,MNDA,myeloid cell nuclear differentiation antigen
0.119,0.37547091,IDH1,"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"
0.119,0.34128495,MAX,MYC associated factor X
0.119,0.25533048,MIR6834///PFDN6,microRNA 6834///prefoldin subunit 6
0.119,-0.21348948,TARBP1,TAR (HIV-1) RNA binding protein 1
0.119,-0.23394221,USP5,ubiquitin specific peptidase 5
0.119,-0.26204192,CRY1,cryptochrome circadian clock 1
0.119,-0.28604433,TST,thiosulfate sulfurtransferase
0.119,-0.33127611,RBM17,RNA binding motif protein 17
0.119,-0.33358667,HIST1H2AK,"histone cluster 1, H2ak"
0.119,-0.34077708,DCK,deoxycytidine kinase
0.119,-0.37329371,CDC25A,cell division cycle 25A
0.119,-0.41987715,,
0.119,-0.46400617,IDUA,"iduronidase, alpha-L-"
0.119,-0.50992323,DTNB,dystrobrevin beta
0.119,-0.53144414,FOXC1,forkhead box C1
0.119,-0.5817974,BSN,bassoon presynaptic cytomatrix protein
0.119,-0.72217683,IFNA21,interferon alpha 21
0.119,-0.83598261,NTRK2,neurotrophic receptor tyrosine kinase 2
0.12,0.57282047,SLC16A2,solute carrier family 16 member 2
0.12,0.4997442,GPR37L1,G protein-coupled receptor 37 like 1
0.12,0.40491127,SIRPA,signal regulatory protein alpha
0.12,0.36499478,MTCL1,microtubule crosslinking factor 1
0.12,0.35446967,RPP30,ribonuclease P/MRP subunit p30
0.12,0.34297415,HPS1,"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"
0.12,0.29305573,LOC100505585///ARHGEF1,uncharacterized LOC100505585///Rho guanine nucleotide exchange factor 1
0.12,0.22871014,TCF25,transcription factor 25
0.12,-0.24547145,SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A"
0.12,-0.26943419,PMS1,"PMS1 homolog 1, mismatch repair system component"
0.12,-0.36719356,SKP1,S-phase kinase-associated protein 1
0.12,-0.38093561,CDC14B,cell division cycle 14B
0.12,-0.39199989,GLTSCR1L,GLTSCR1 like
0.12,-0.3960281,COX7B,cytochrome c oxidase subunit 7B
0.12,-0.42706626,,
0.12,-0.43876247,NAT8B///NAT8,"N-acetyltransferase 8B (putative, gene/pseudogene)///N-acetyltransferase 8 (putative)"
0.12,-0.47587661,RAB40C,"RAB40C, member RAS oncogene family"
0.12,-0.47641554,MTSS1L,metastasis suppressor 1 like
0.12,-0.50190741,GUCY2F,"guanylate cyclase 2F, retinal"
0.12,-0.5919197,RFPL1S,RFPL1 antisense RNA 1
0.12,-0.64450181,ACHE,acetylcholinesterase (Cartwright blood group)
0.12,-0.7426827,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
0.121,0.57216028,HIP1,huntingtin interacting protein 1
0.121,0.51781377,TAF1,TATA-box binding protein associated factor 1
0.121,-0.26572147,CDK11A///CDK11B,cyclin dependent kinase 11A///cyclin dependent kinase 11B
0.121,-0.53155712,PRKCA,protein kinase C alpha
0.121,-0.55794163,ASPHD1,aspartate beta-hydroxylase domain containing 1
0.121,-0.56360004,DAZ4///DAZ2///DAZ3///DAZ1,deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1
0.121,-0.57653475,HP,haptoglobin
0.121,-0.59452863,PART1,prostate androgen-regulated transcript 1 (non-protein coding)
0.121,-0.60897518,HTR7P1,5-hydroxytryptamine receptor 7 pseudogene 1
0.121,-0.73176431,PMCH,pro-melanin concentrating hormone
0.121,-0.74068554,SYCP1,synaptonemal complex protein 1
0.122,0.5610088,PANX1,pannexin 1
0.122,0.38599856,TP53I3,tumor protein p53 inducible protein 3
0.122,-0.21584089,CYHR1,cysteine and histidine rich 1
0.122,-0.24553973,LARS2,"leucyl-tRNA synthetase 2, mitochondrial"
0.122,-0.34728544,PHLPP1,PH domain and leucine rich repeat protein phosphatase 1
0.122,-0.52699859,RAB40A,"RAB40A, member RAS oncogene family"
0.122,-0.61401488,VNN2,vanin 2
0.122,-0.61680299,PPP6R2,protein phosphatase 6 regulatory subunit 2
0.122,-0.79417329,PTX3,pentraxin 3
0.123,0.44855198,ZNF821,zinc finger protein 821
0.123,0.38276354,MRFAP1L1,Morf4 family associated protein 1 like 1
0.123,0.24988404,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
